feature,mean_importance
scattering,0.029141156262505307
linearity,0.029831343759327854
eigentropy,0.030100367834039445
change_of_curvature,0.051167191771037415
sum_eigenvalues,0.05449999645129535
omnivariance,0.11687380029509771
planarity,0.14164424875060985
anisotropy,0.2722723605094382
z_range,0.40492208472999314
