feature,mean_importance
eigentropy,0.005705328040046221
linearity,0.008974411922336566
scattering,0.010870219547475113
sum_eigenvalues,0.015871703969348207
omnivariance,0.02671259075661092
change_of_curvature,0.037416993212810515
planarity,0.11131073161141933
z_range,0.19925491150438737
anisotropy,0.3049710933002275
