feature,shap_importance
anisotropy,0.4187806630329768
planarity,0.20907005707264964
z_range,0.19432989477185808
change_of_curvature,0.06351157662446945
omnivariance,0.05406076096106406
sum_eigenvalues,0.03317161331373804
linearity,0.024743825238190673
scattering,0.023920597583235306
eigentropy,0.009446712005707326
