feature,mean_importance
change_of_curvature,0.0038649492933647833
scattering,0.011337260876603228
linearity,0.014347371702563838
eigentropy,0.03180008406438541
planarity,0.03769267461216108
sum_eigenvalues,0.12297715203692375
z_range,0.22286730695729268
omnivariance,0.23790656453357154
anisotropy,0.4360999151261771
